
adjust-android-signature-3.67.0/jni/arm64-v8a/libsigner.so:	file format elf64-littleaarch64

Disassembly of section .text:

0000000000008070 <.text>:
   23730: d10403ff     	sub	sp, sp, #0x100
   23eb0: f2b74e89     	movk	x9, #0xba74, lsl #16
   23eb4: f2dc2d49     	movk	x9, #0xe16a, lsl #32
   23eb8: f2e84a29     	movk	x9, #0x4251, lsl #48
   23ebc: eb09011f     	cmp	x8, x9
   23ec0: 540022c0     	b.eq	0x24318 <.text+0x1c2a8>
   23ec4: d282d049     	mov	x9, #0x1682             // =5762
   23ec8: f2a16009     	movk	x9, #0xb00, lsl #16
   23ecc: f2c94069     	movk	x9, #0x4a03, lsl #32
   23ed0: f2e86009     	movk	x9, #0x4300, lsl #48
   23ed4: eb09011f     	cmp	x8, x9
   23ed8: 54000c60     	b.eq	0x24064 <.text+0x1bff4>
   23edc: d28b60af     	mov	x15, #0x5b05            // =23301
   23ee0: d290381e     	mov	x30, #0x81c0            // =33216
   23ee4: f2b35f2f     	movk	x15, #0x9af9, lsl #16
   23ee8: f2bd5e1e     	movk	x30, #0xeaf0, lsl #16
   23eec: f2c7caaf     	movk	x15, #0x3e55, lsl #32
   23ef0: aa1403e9     	mov	x9, x20
   23ef4: aa1603ea     	mov	x10, x22
   23ef8: aa1803eb     	mov	x11, x24
   23efc: 2a1503ec     	mov	w12, w21
   23f00: aa1703ed     	mov	x13, x23
   23f04: aa1903ee     	mov	x14, x25
   23f08: f2f7d90f     	movk	x15, #0xbec8, lsl #48
   23f0c: f2db853e     	movk	x30, #0xdc29, lsl #32
   23f10: f2eb87de     	movk	x30, #0x5c3e, lsl #48
   23f14: eb1e011f     	cmp	x8, x30
   23f18: 54ffd360     	b.eq	0x23984 <.text+0x1b914>
   23f1c: d28ea02f     	mov	x15, #0x7501            // =29953
   23f20: d2831f3e     	mov	x30, #0x18f9            // =6393
   23f24: f2afd18f     	movk	x15, #0x7e8c, lsl #16
   23f28: f2b2d69e     	movk	x30, #0x96b4, lsl #16
   23f2c: f2d7740f     	movk	x15, #0xbba0, lsl #32
   23f30: aa1a03e9     	mov	x9, x26
   23f34: aa1603ea     	mov	x10, x22
   23f38: aa1803eb     	mov	x11, x24
   23f3c: 2a1503ec     	mov	w12, w21
   23f40: aa1703ed     	mov	x13, x23
   23f44: aa1903ee     	mov	x14, x25
   23f48: f2f9198f     	movk	x15, #0xc8cc, lsl #48
   23f4c: f2dfe63e     	movk	x30, #0xff31, lsl #32
   23f50: f2eb87fe     	movk	x30, #0x5c3f, lsl #48
   23f54: eb1e011f     	cmp	x8, x30
   23f58: 54ffd160     	b.eq	0x23984 <.text+0x1b914>
   23f5c: d281e2be     	mov	x30, #0xf15             // =3861
   23f60: aa1a03e9     	mov	x9, x26
   23f64: f2a9b8be     	movk	x30, #0x4dc5, lsl #16
   23f68: aa1603ea     	mov	x10, x22
   23f6c: aa1803eb     	mov	x11, x24
   23f70: 2a1503ec     	mov	w12, w21
   23f74: aa1703ed     	mov	x13, x23
   23f78: aa1903ee     	mov	x14, x25
   23f7c: f94027ef     	ldr	x15, [sp, #0x48]
   23f80: f2cbf2be     	movk	x30, #0x5f95, lsl #32
   23f84: f2ed4a1e     	movk	x30, #0x6a50, lsl #48
   23f88: eb1e011f     	cmp	x8, x30
   23f8c: 54ffcfc0     	b.eq	0x23984 <.text+0x1b914>
   23f90: d29fc269     	mov	x9, #0xfe13             // =65043
   23f94: f2b8f429     	movk	x9, #0xc7a1, lsl #16
   23f98: f2d1a669     	movk	x9, #0x8d33, lsl #32
   23f9c: f2ede9e9     	movk	x9, #0x6f4f, lsl #48
   23fa0: eb09011f     	cmp	x8, x9
   23fa4: 54001c60     	b.eq	0x24330 <.text+0x1c2c0>
   23fa8: d28b60af     	mov	x15, #0x5b05            // =23301
   23fac: d28841be     	mov	x30, #0x420d            // =16909
   23fb0: f2b35f2f     	movk	x15, #0x9af9, lsl #16
   23fb4: f2a6883e     	movk	x30, #0x3441, lsl #16
   23fb8: f2c7caaf     	movk	x15, #0x3e55, lsl #32
   23fbc: f9401fe9     	ldr	x9, [sp, #0x38]
   23fc0: aa1603ea     	mov	x10, x22
   23fc4: aa1803eb     	mov	x11, x24
   23fc8: 2a1503ec     	mov	w12, w21
   23fcc: aa1703ed     	mov	x13, x23
   23fd0: aa1903ee     	mov	x14, x25
   23fd4: f2f7d90f     	movk	x15, #0xbec8, lsl #48
   23fd8: f2d516be     	movk	x30, #0xa8b5, lsl #32
   23fdc: f2edf69e     	movk	x30, #0x6fb4, lsl #48
   23fe0: eb1e011f     	cmp	x8, x30
   23fe4: 54ffcd00     	b.eq	0x23984 <.text+0x1b914>
   23fe8: d292a049     	mov	x9, #0x9502             // =38146
   23fec: f2afea49     	movk	x9, #0x7f52, lsl #16
   23ff0: f2dcb7a9     	movk	x9, #0xe5bd, lsl #32
   23ff4: f2ee2109     	movk	x9, #0x7108, lsl #48
   23ff8: eb09011f     	cmp	x8, x9
   23ffc: 54001be0     	b.eq	0x24378 <.text+0x1c308>
   24000: 2a1503ec     	mov	w12, w21
   24004: d29075b5     	mov	x21, #0x83ad            // =33709
   24008: f2ab7455     	movk	x21, #0x5ba2, lsl #16
   2400c: aa1a03e9     	mov	x9, x26
   24010: aa1603ea     	mov	x10, x22
   24014: aa1803eb     	mov	x11, x24
   24018: aa1703ed     	mov	x13, x23
   2401c: aa1903ee     	mov	x14, x25
   24020: aa0803ef     	mov	x15, x8
   24024: f2c9b275     	movk	x21, #0x4d93, lsl #32
   24028: f2f04a35     	movk	x21, #0x8251, lsl #48
   2402c: eb15011f     	cmp	x8, x21
   24030: 54ffcaa1     	b.ne	0x23984 <.text+0x1b914>
   24034: 140000fb     	b	0x24420 <.text+0x1c3b0>
   24038: d29075af     	mov	x15, #0x83ad            // =33709
   2403c: aa1a03e9     	mov	x9, x26
   24040: f2ab744f     	movk	x15, #0x5ba2, lsl #16
   24044: aa1603ea     	mov	x10, x22
   24048: f2c9b26f     	movk	x15, #0x4d93, lsl #32
   2404c: aa1803eb     	mov	x11, x24
   24050: 2a1503ec     	mov	w12, w21
   24054: aa1703ed     	mov	x13, x23
   24058: aa1903ee     	mov	x14, x25
   2405c: f2f04a2f     	movk	x15, #0x8251, lsl #48
   24060: 17fffe49     	b	0x23984 <.text+0x1b914>
   24064: 2a1f03e0     	mov	w0, wzr
   24068: 140000e3     	b	0x243f4 <.text+0x1c384>
   2406c: 394002e8     	ldrb	w8, [x23]
   24070: d29da00d     	mov	x13, #0xed00            // =60672
   24074: 39400330     	ldrb	w16, [x25]
   24078: f2ae592d     	movk	x13, #0x72c9, lsl #16
   2407c: f2c4382d     	movk	x13, #0x21c1, lsl #32
   24080: a9025ff9     	stp	x25, x23, [sp, #0x20]
   24084: b90047e8     	str	w8, [sp, #0x44]
   24088: d29bbf88     	mov	x8, #0xddfc             // =56828
   2408c: f2b61dc8     	movk	x8, #0xb0ee, lsl #16
   24090: 7100021f     	cmp	w16, #0x0
   24094: f2ca9728     	movk	x8, #0x54b9, lsl #32
   24098: f2e039ed     	movk	x13, #0x1cf, lsl #48
   2409c: f2f62aa8     	movk	x8, #0xb155, lsl #48
   240a0: aa1a03e9     	mov	x9, x26
   240a4: aa1603ea     	mov	x10, x22
   240a8: aa1803eb     	mov	x11, x24
   240ac: 2a1503ec     	mov	w12, w21
   240b0: 9a8801af     	csel	x15, x13, x8, eq
   240b4: 140000ae     	b	0x2436c <.text+0x1c2fc>
   240b8: aa1403e0     	mov	x0, x20
   240bc: aa1303e1     	mov	x1, x19
   240c0: 2a1003fb     	mov	w27, w16
   240c4: 94040e6d     	bl	0x127a78 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5b474>
   240c8: 140000b0     	b	0x24388 <.text+0x1c318>
   240cc: 294623e9     	ldp	w9, w8, [sp, #0x30]
   240d0: 6b09011f     	cmp	w8, w9
   240d4: aa1a03e9     	mov	x9, x26
   240d8: 14000049     	b	0x241fc <.text+0x1c18c>
   240dc: d29ad56f     	mov	x15, #0xd6ab            // =54955
   240e0: aa1a03e9     	mov	x9, x26
   240e4: f2bf74af     	movk	x15, #0xfba5, lsl #16
   240e8: aa1603ea     	mov	x10, x22
   240ec: f2d0884f     	movk	x15, #0x8442, lsl #32
   240f0: f2ff814f     	movk	x15, #0xfc0a, lsl #48
   240f4: 1400009c     	b	0x24364 <.text+0x1c2f4>
   240f8: aa1403e0     	mov	x0, x20
   240fc: aa1303e1     	mov	x1, x19
   24100: 2a1003fb     	mov	w27, w16
   24104: 94041e43     	bl	0x12ba10 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5f40c>
   24108: 140000a0     	b	0x24388 <.text+0x1c318>
   2410c: f94007e8     	ldr	x8, [sp, #0x8]
   24110: aa1a03e9     	mov	x9, x26
   24114: aa1603ea     	mov	x10, x22
   24118: eb14011f     	cmp	x8, x20
   2411c: 1a9f07e0     	cset	w0, ne
   24120: 140000b7     	b	0x243fc <.text+0x1c38c>
   24124: b94047e8     	ldr	w8, [sp, #0x44]
   24128: d29fc26b     	mov	x11, #0xfe13            // =65043
   2412c: f2b8f42b     	movk	x11, #0xc7a1, lsl #16
   24130: aa1a03e9     	mov	x9, x26
   24134: f2d1a66b     	movk	x11, #0x8d33, lsl #32
   24138: aa1603ea     	mov	x10, x22
   2413c: 7100011f     	cmp	w8, #0x0
   24140: d29ef1e8     	mov	x8, #0xf78f             // =63375
   24144: f2ba1528     	movk	x8, #0xd0a9, lsl #16
   24148: f2ede9eb     	movk	x11, #0x6f4f, lsl #48
   2414c: f2df52c8     	movk	x8, #0xfa96, lsl #32
   24150: f2f3a128     	movk	x8, #0x9d09, lsl #48
   24154: 14000083     	b	0x24360 <.text+0x1c2f0>
   24158: aa1a03e9     	mov	x9, x26
   2415c: d28841ae     	mov	x14, #0x420d            // =16909
   24160: f2a6882e     	movk	x14, #0x3441, lsl #16
   24164: aa1603ea     	mov	x10, x22
   24168: f2d516ae     	movk	x14, #0xa8b5, lsl #32
   2416c: aa1803eb     	mov	x11, x24
   24170: 38401528     	ldrb	w8, [x9], #0x1
   24174: f2edf68e     	movk	x14, #0x6fb4, lsl #48
   24178: f9001fe9     	str	x9, [sp, #0x38]
   2417c: aa1a03e9     	mov	x9, x26
   24180: 2a1503ec     	mov	w12, w21
   24184: 7100011f     	cmp	w8, #0x0
   24188: d28f5c48     	mov	x8, #0x7ae2             // =31458
   2418c: f2a70768     	movk	x8, #0x383b, lsl #16
   24190: aa1703ed     	mov	x13, x23
   24194: f2d1f608     	movk	x8, #0x8fb0, lsl #32
   24198: f90007fa     	str	x26, [sp, #0x8]
   2419c: f2f5f7e8     	movk	x8, #0xafbf, lsl #48
   241a0: 9a8e010f     	csel	x15, x8, x14, eq
   241a4: aa1903ee     	mov	x14, x25
   241a8: 17fffdf7     	b	0x23984 <.text+0x1b914>
   241ac: f94013e8     	ldr	x8, [sp, #0x20]
   241b0: aa1a03e9     	mov	x9, x26
   241b4: aa1603ea     	mov	x10, x22
   241b8: aa1803eb     	mov	x11, x24
   241bc: 2a1503ec     	mov	w12, w21
   241c0: 9100050e     	add	x14, x8, #0x1
   241c4: f94017e8     	ldr	x8, [sp, #0x28]
   241c8: 9100050d     	add	x13, x8, #0x1
   241cc: 17fffdee     	b	0x23984 <.text+0x1b914>
   241d0: b94047ec     	ldr	w12, [sp, #0x44]
   241d4: 51016ea8     	sub	w8, w21, #0x5b
   241d8: 321b02a9     	orr	w9, w21, #0x20
   241dc: 3100691f     	cmn	w8, #0x1a
   241e0: 1a8932ab     	csel	w11, w21, w9, lo
   241e4: aa1a03e9     	mov	x9, x26
   241e8: 51016d8a     	sub	w10, w12, #0x5b
   241ec: 321b0188     	orr	w8, w12, #0x20
   241f0: 3100695f     	cmn	w10, #0x1a
   241f4: 1a883188     	csel	w8, w12, w8, lo
   241f8: 6b08017f     	cmp	w11, w8
   241fc: aa1603ea     	mov	x10, x22
   24200: 1a9f17e0     	cset	w0, eq
   24204: 1400007e     	b	0x243fc <.text+0x1c38c>
   24208: aa1403e0     	mov	x0, x20
   2420c: aa1303e1     	mov	x1, x19
   24210: 2a1003fb     	mov	w27, w16
   24214: 94041c98     	bl	0x12b474 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5ee70>
   24218: 1400005c     	b	0x24388 <.text+0x1c318>
   2421c: aa1403e0     	mov	x0, x20
   24220: aa1303e1     	mov	x1, x19
   24224: 2a1003fb     	mov	w27, w16
   24228: 9404104f     	bl	0x128364 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5bd60>
   2422c: 14000057     	b	0x24388 <.text+0x1c318>
   24230: d292a00f     	mov	x15, #0x9500            // =38144
   24234: 2a1f03ec     	mov	w12, wzr
   24238: f2b662cf     	movk	x15, #0xb316, lsl #16
   2423c: aa1a03e9     	mov	x9, x26
   24240: f2d9d5af     	movk	x15, #0xcead, lsl #32
   24244: aa1603ea     	mov	x10, x22
   24248: aa1803eb     	mov	x11, x24
   2424c: aa1703ed     	mov	x13, x23
   24250: aa1903ee     	mov	x14, x25
   24254: f2fe2c6f     	movk	x15, #0xf163, lsl #48
   24258: 17fffdcb     	b	0x23984 <.text+0x1b914>
   2425c: aa1403e0     	mov	x0, x20
   24260: aa1303e1     	mov	x1, x19
   24264: 2a1003fb     	mov	w27, w16
   24268: 94040f74     	bl	0x128038 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5ba34>
   2426c: 14000047     	b	0x24388 <.text+0x1c318>
   24270: b94047ec     	ldr	w12, [sp, #0x44]
   24274: 51016e08     	sub	w8, w16, #0x5b
   24278: 321b0209     	orr	w9, w16, #0x20
   2427c: 3100691f     	cmn	w8, #0x1a
   24280: 1a89320b     	csel	w11, w16, w9, lo
   24284: aa1a03e9     	mov	x9, x26
   24288: 51016d8a     	sub	w10, w12, #0x5b
   2428c: 321b0188     	orr	w8, w12, #0x20
   24290: 3100695f     	cmn	w10, #0x1a
   24294: aa1603ea     	mov	x10, x22
   24298: 1a883188     	csel	w8, w12, w8, lo
   2429c: 6b08017f     	cmp	w11, w8
   242a0: d2831f28     	mov	x8, #0x18f9             // =6393
   242a4: d292210b     	mov	x11, #0x9108            // =37128
   242a8: f2b2d688     	movk	x8, #0x96b4, lsl #16
   242ac: f2adf06b     	movk	x11, #0x6f83, lsl #16
   242b0: f2dfe628     	movk	x8, #0xff31, lsl #32
   242b4: f2de094b     	movk	x11, #0xf04a, lsl #32
   242b8: f2eb87e8     	movk	x8, #0x5c3f, lsl #48
   242bc: f2e5c5eb     	movk	x11, #0x2e2f, lsl #48
   242c0: 9a88016f     	csel	x15, x11, x8, eq
   242c4: 14000028     	b	0x24364 <.text+0x1c2f4>
   242c8: 39400308     	ldrb	w8, [x24]
   242cc: d293e40d     	mov	x13, #0x9f20            // =40736
   242d0: 394002c9     	ldrb	w9, [x22]
   242d4: f2b74e8d     	movk	x13, #0xba74, lsl #16
   242d8: f2dc2d4d     	movk	x13, #0xe16a, lsl #32
   242dc: a90163f6     	stp	x22, x24, [sp, #0x10]
   242e0: f2e84a2d     	movk	x13, #0x4251, lsl #48
   242e4: aa1603ea     	mov	x10, x22
   242e8: 6b09011f     	cmp	w8, w9
   242ec: 290623e9     	stp	w9, w8, [sp, #0x30]
   242f0: 7a400904     	ccmp	w8, #0x0, #0x4, eq
   242f4: d2819ce8     	mov	x8, #0xce7              // =3303
   242f8: f2a798c8     	movk	x8, #0x3cc6, lsl #16
   242fc: aa1a03e9     	mov	x9, x26
   24300: f2c58c08     	movk	x8, #0x2c60, lsl #32
   24304: aa1803eb     	mov	x11, x24
   24308: f2f20ca8     	movk	x8, #0x9065, lsl #48
   2430c: 2a1503ec     	mov	w12, w21
   24310: 9a8d010f     	csel	x15, x8, x13, eq
   24314: 14000016     	b	0x2436c <.text+0x1c2fc>
   24318: f9400fe8     	ldr	x8, [sp, #0x18]
   2431c: aa1a03e9     	mov	x9, x26
   24320: 9100050b     	add	x11, x8, #0x1
   24324: f9400be8     	ldr	x8, [sp, #0x10]
   24328: 9100050a     	add	x10, x8, #0x1
   2432c: 1400000f     	b	0x24368 <.text+0x1c2f8>
   24330: b94047e8     	ldr	w8, [sp, #0x44]
   24334: d282936b     	mov	x11, #0x149b            // =5275
   24338: f2b21eab     	movk	x11, #0x90f5, lsl #16
   2433c: aa1a03e9     	mov	x9, x26
   24340: f2d9bb6b     	movk	x11, #0xcddb, lsl #32
   24344: aa1603ea     	mov	x10, x22
   24348: 6b08021f     	cmp	w16, w8
   2434c: d283da28     	mov	x8, #0x1ed1             // =7889
   24350: f2b3c7a8     	movk	x8, #0x9e3d, lsl #16
   24354: f2e4fa4b     	movk	x11, #0x27d2, lsl #48
   24358: f2d91668     	movk	x8, #0xc8b3, lsl #32
   2435c: f2f93f88     	movk	x8, #0xc9fc, lsl #48
   24360: 9a8b010f     	csel	x15, x8, x11, eq
   24364: aa1803eb     	mov	x11, x24
   24368: 2a1503ec     	mov	w12, w21
   2436c: aa1703ed     	mov	x13, x23
   24370: aa1903ee     	mov	x14, x25
   24374: 17fffd84     	b	0x23984 <.text+0x1b914>
   24378: aa1403e0     	mov	x0, x20
   2437c: aa1303e1     	mov	x1, x19
   24380: 2a1003fb     	mov	w27, w16
   24384: 94041a5f     	bl	0x12ad00 <Java_com_adjust_sdk_sig_NativeLibHelper_nSign+0x5e6fc>
   24388: a97b8fa5     	ldp	x5, x3, [x29, #-0x48]
   2438c: d29a2c42     	mov	x2, #0xd162             // =53602
   24390: d2869d47     	mov	x7, #0x34ea             // =13546
   24394: d291edc6     	mov	x6, #0x8f6e             // =36718
   24398: d29c6ea4     	mov	x4, #0xe375             // =58229
   2439c: d29b4661     	mov	x1, #0xda33             // =55859
   243a0: d282e5d1     	mov	x17, #0x172e            // =5934
   243a4: f2bafd62     	movk	x2, #0xd7eb, lsl #16
   243a8: f2bee2c7     	movk	x7, #0xf716, lsl #16
   243ac: f2b67886     	movk	x6, #0xb3c4, lsl #16
   243b0: f2b069a4     	movk	x4, #0x834d, lsl #16
   243b4: f2b5af21     	movk	x1, #0xad79, lsl #16
   243b8: f2a170f1     	movk	x17, #0xb87, lsl #16
   243bc: 2a1b03f0     	mov	w16, w27
   243c0: f9402bfb     	ldr	x27, [sp, #0x50]
   243c4: f2ce31a2     	movk	x2, #0x718d, lsl #32
   243c8: f2de1a27     	movk	x7, #0xf0d1, lsl #32
   243cc: f2df91a6     	movk	x6, #0xfc8d, lsl #32
   243d0: f2dede44     	movk	x4, #0xf6f2, lsl #32
   243d4: f2d9e9e1     	movk	x1, #0xcf4f, lsl #32
   243d8: f2cd9e31     	movk	x17, #0x6cf1, lsl #32
   243dc: f2f13882     	movk	x2, #0x89c4, lsl #48
   243e0: f2ff21c7     	movk	x7, #0xf90e, lsl #48
   243e4: f2f5caa6     	movk	x6, #0xae55, lsl #48
   243e8: f2f03224     	movk	x4, #0x8191, lsl #48
   243ec: f2f3bc01     	movk	x1, #0x9de0, lsl #48
   243f0: f2e15031     	movk	x17, #0xa81, lsl #48
   243f4: aa1a03e9     	mov	x9, x26
   243f8: aa1603ea     	mov	x10, x22
   243fc: d29075af     	mov	x15, #0x83ad            // =33709
   24400: aa1803eb     	mov	x11, x24
   24404: f2ab744f     	movk	x15, #0x5ba2, lsl #16
   24408: 2a1503ec     	mov	w12, w21
   2440c: f2c9b26f     	movk	x15, #0x4d93, lsl #32
   24410: aa1703ed     	mov	x13, x23
   24414: aa1903ee     	mov	x14, x25
   24418: f2f04a2f     	movk	x15, #0x8251, lsl #48
   2441c: 17fffd5a     	b	0x23984 <.text+0x1b914>
   24420: a94f4ff4     	ldp	x20, x19, [sp, #0xf0]
   24424: 12000000     	and	w0, w0, #0x1
   24428: a94e57f6     	ldp	x22, x21, [sp, #0xe0]
   2442c: a94d5ff8     	ldp	x24, x23, [sp, #0xd0]
   24430: a94c67fa     	ldp	x26, x25, [sp, #0xc0]
   24434: a94b6ffc     	ldp	x28, x27, [sp, #0xb0]
   24438: a94a7bfd     	ldp	x29, x30, [sp, #0xa0]
   2443c: 910403ff     	add	sp, sp, #0x100
   24440: d65f03c0     	ret
